# operation	command	carrier_fingerprint	instruction_count	firmware_abi_keys	addresses
submit16	0xc0108102	b0153d8b93d4f81c	28	0x0320,0x0400,0x0403,0x0450,0x0451,0x0502,0x0510,0x0550,0x0600,0x0602,0x0650,0x0701,0x0720,0x0740,0x0760,0x0761,0x0800,0x0820,0x0840,0x0860,0x0900,0x0905,0x0920,0x0940,0x0960,0x1001,0x1020,0x1040,0x1060,0x1100,0x1120,0x1140,0x1160,0x1200,0x1202,0x1220,0x1240,0x1260,0x1270	0x0320@0x7bc0,0x0400@0x8330,0x0403@0x8330,0x0450@0x84f0,0x0451@0x84f0,0x0502@0x86e0,0x0510@0x86e0,0x0550@0x86e0,0x0600@0x8c80,0x0602@0x8c80,0x0650@0x8c80,0x0701@0x8cb0,0x0720@0x8cb0,0x0740@0x8cb0,0x0760@0x8cb0,0x0761@0x8cb0,0x0800@0x8ee0,0x0820@0x8ee0,0x0840@0x8ee0,0x0860@0x8ee0,0x0900@0x9180,0x0905@0x9180,0x0920@0x9180,0x0940@0x9180,0x0960@0x9180,0x1001@0x9280,0x1020@0x9280,0x1040@0x9280,0x1060@0x9280,0x1100@0x84f0,0x1120@0x84f0,0x1140@0x84f0,0x1160@0x84f0,0x1200@0x8c20,0x1202@0x8c20,0x1220@0x8c20,0x1240@0x8c20,0x1260@0x8c20,0x1270@0x8c20
queue_destroy	0xc00c810e	146110802645e9bb	59	0x0900,0x0905,0x0920,0x0940,0x0960,0x1001,0x1020,0x1040,0x1060	0x0900@0x9a60,0x0905@0x9a60,0x0920@0x9a60,0x0940@0x9a60,0x0960@0x9a60,0x1001@0x9b60,0x1020@0x9b60,0x1040@0x9b60,0x1060@0x9b60
queue_destroy	0xc00c810e	59fca0cc1625dd87	65	0x1100,0x1120,0x1140,0x1160,0x1200,0x1202,0x1220,0x1240,0x1260,0x1270	0x1100@0x8e00,0x1120@0x8e00,0x1140@0x8e00,0x1160@0x8e00,0x1200@0x9540,0x1202@0x9540,0x1220@0x9540,0x1240@0x9540,0x1260@0x9540,0x1270@0x9540
queue_destroy	0xc00c810e	89b43d2f75ae004b	59	0x0600,0x0602,0x0650,0x0701,0x0720,0x0740,0x0760,0x0761	0x0600@0x9560,0x0602@0x9560,0x0650@0x9560,0x0701@0x9590,0x0720@0x9590,0x0740@0x9590,0x0760@0x9590,0x0761@0x9590
queue_destroy	0xc00c810e	cc28b66c54f29e58	59	0x0800,0x0820,0x0840,0x0860	0x0800@0x9790,0x0820@0x9790,0x0840@0x9790,0x0860@0x9790
queue_destroy	0xc00c810e	ce521b096531cdaa	59	0x0502,0x0510,0x0550	0x0502@0x8fc0,0x0510@0x8fc0,0x0550@0x8fc0
queue_destroy	0xc00c810e	f3272c7fa1e3c8f3	59	0x0320,0x0400,0x0403,0x0450,0x0451	0x0320@0x83b0,0x0400@0x8c10,0x0403@0x8c10,0x0450@0x8dd0,0x0451@0x8dd0
suspend_primary	0xc010811c	f11f91671460b2f7	29	0x0320,0x0400,0x0403,0x0450,0x0451,0x0502,0x0510,0x0550,0x0600,0x0602,0x0650,0x0701,0x0720,0x0740,0x0760,0x0761,0x0800,0x0820,0x0840,0x0860,0x0900,0x0905,0x0920,0x0940,0x0960,0x1001,0x1020,0x1040,0x1060,0x1100,0x1120,0x1140,0x1160,0x1200,0x1202,0x1220,0x1240,0x1260,0x1270	0x0320@0x89c0,0x0400@0x9220,0x0403@0x9220,0x0450@0x93e0,0x0451@0x93e0,0x0502@0x95d0,0x0510@0x95d0,0x0550@0x95d0,0x0600@0x9b70,0x0602@0x9b70,0x0650@0x9b70,0x0701@0x9ba0,0x0720@0x9ba0,0x0740@0x9ba0,0x0760@0x9ba0,0x0761@0x9ba0,0x0800@0x9da0,0x0820@0x9da0,0x0840@0x9da0,0x0860@0x9da0,0x0900@0xa070,0x0905@0xa070,0x0920@0xa070,0x0940@0xa070,0x0960@0xa070,0x1001@0xa170,0x1020@0xa170,0x1040@0xa170,0x1060@0xa170,0x1100@0x9430,0x1120@0x9430,0x1140@0x9430,0x1160@0x9430,0x1200@0x9b70,0x1202@0x9b70,0x1220@0x9b70,0x1240@0x9b70,0x1260@0x9b70,0x1270@0x9b70
tf_privileged	0xc0108120	d25dd79893ed4382	29	0x0320,0x0400,0x0403,0x0450,0x0451,0x0502,0x0510,0x0550,0x0600,0x0602,0x0650,0x0701,0x0720,0x0740,0x0760,0x0761,0x0800,0x0820,0x0840,0x0860,0x0900,0x0905,0x0920,0x0940,0x0960,0x1001,0x1020,0x1040,0x1060,0x1100,0x1120,0x1140,0x1160,0x1200,0x1202,0x1220,0x1240,0x1260,0x1270	0x0320@0x8d50,0x0400@0x95b0,0x0403@0x95b0,0x0450@0x9770,0x0451@0x9770,0x0502@0x9960,0x0510@0x9960,0x0550@0x9960,0x0600@0x9f00,0x0602@0x9f00,0x0650@0x9f00,0x0701@0x9f30,0x0720@0x9f30,0x0740@0x9f30,0x0760@0x9f30,0x0761@0x9f30,0x0800@0xa130,0x0820@0xa130,0x0840@0xa130,0x0860@0xa130,0x0900@0xa400,0x0905@0xa400,0x0920@0xa400,0x0940@0xa400,0x0960@0xa400,0x1001@0xa500,0x1020@0xa500,0x1040@0xa500,0x1060@0xa500,0x1100@0x97c0,0x1120@0x97c0,0x1140@0x97c0,0x1160@0x97c0,0x1200@0x9f00,0x1202@0x9f00,0x1220@0x9f00,0x1240@0x9f00,0x1260@0x9f00,0x1270@0x9f00
queue_create	0xc0408121	3bc0d059acabb628	141	0x0400,0x0400,0x0403,0x0403,0x0450,0x0450,0x0451,0x0451	0x0400@0x8790,0x0400@0x89d0,0x0403@0x8790,0x0403@0x89d0,0x0450@0x8950,0x0450@0x8b90,0x0451@0x8950,0x0451@0x8b90
queue_create	0xc0408121	5cb3f3ccf5ea025f	140	0x0900,0x0905,0x0920,0x0940,0x0960,0x1001,0x1020,0x1040,0x1060	0x0900@0x93a0,0x0905@0x93a0,0x0920@0x93a0,0x0940@0x93a0,0x0960@0x93a0,0x1001@0x94a0,0x1020@0x94a0,0x1040@0x94a0,0x1060@0x94a0
