# firmware_abi_key	allocation_carrier	instruction_count	gpu_info_standard	gpu_info_trinity	trap_code	trap_data	ddid	eop_fifo	shadow_reg	cwsr_standard	cwsr_trinity	misc	cwsr_work_standard	cwsr_work_trinity	trinity_predicate	qualification
0x0320	c07bdefcfab77530	186	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0400	c07bdefcfab77530	186	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0403	c07bdefcfab77530	186	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0450	c07bdefcfab77530	186	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0451	c07bdefcfab77530	186	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0502	eadbd8fc8dd2a99f	188	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0510	eadbd8fc8dd2a99f	188	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0550	eadbd8fc8dd2a99f	188	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	hardware-qualified-FW5.50
0x0600	8180b7232387cd68	189	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0602	8180b7232387cd68	189	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0650	8180b7232387cd68	189	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0701	8180b7232387cd68	189	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0720	8180b7232387cd68	189	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0740	8180b7232387cd68	189	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0760	8180b7232387cd68	189	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0761	8180b7232387cd68	189	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0800	8180b7232387cd68	189	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0820	8180b7232387cd68	189	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0840	8180b7232387cd68	189	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0860	8180b7232387cd68	189	0x100000	-	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	-	0x4000	0xa00000	-	-	RE-exact-hardware-pending
0x0900	c0ef9773bdd362a8	219	0x100000	0x180000	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	0x1600000	0x4000	0xa00000	0x1000000	yu17wG8L5FI	RE-exact-hardware-pending
0x0905	c0ef9773bdd362a8	219	0x100000	0x180000	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	0x1600000	0x4000	0xa00000	0x1000000	yu17wG8L5FI	RE-exact-hardware-pending
0x0920	c0ef9773bdd362a8	219	0x100000	0x180000	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	0x1600000	0x4000	0xa00000	0x1000000	yu17wG8L5FI	RE-exact-hardware-pending
0x0940	c0ef9773bdd362a8	219	0x100000	0x180000	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	0x1600000	0x4000	0xa00000	0x1000000	yu17wG8L5FI	RE-exact-hardware-pending
0x0960	c0ef9773bdd362a8	219	0x100000	0x180000	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	0x1600000	0x4000	0xa00000	0x1000000	yu17wG8L5FI	RE-exact-hardware-pending
0x1001	fe4b410a5f44cdd9	215	0x100000	0x180000	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	0x1600000	0x4000	0xa00000	0x1000000	yu17wG8L5FI	RE-exact-hardware-pending
0x1020	fe4b410a5f44cdd9	215	0x100000	0x180000	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	0x1600000	0x4000	0xa00000	0x1000000	yu17wG8L5FI	RE-exact-hardware-pending
0x1040	fe4b410a5f44cdd9	215	0x100000	0x180000	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	0x1600000	0x4000	0xa00000	0x1000000	yu17wG8L5FI	RE-exact-hardware-pending
0x1060	fe4b410a5f44cdd9	215	0x100000	0x180000	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	0x1600000	0x4000	0xa00000	0x1000000	yu17wG8L5FI	RE-exact-hardware-pending
0x1100	fe4b410a5f44cdd9	215	0x100000	0x180000	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	0x1600000	0x4000	0xa00000	0x1000000	yu17wG8L5FI	RE-exact-hardware-pending
0x1120	fe4b410a5f44cdd9	215	0x100000	0x180000	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	0x1600000	0x4000	0xa00000	0x1000000	yu17wG8L5FI	RE-exact-hardware-pending
0x1140	fe4b410a5f44cdd9	215	0x100000	0x180000	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	0x1600000	0x4000	0xa00000	0x1000000	yu17wG8L5FI	RE-exact-hardware-pending
0x1160	fe4b410a5f44cdd9	215	0x100000	0x180000	0x4000	0x4000	0xfc000	0x3c000	0x4000	0x1000000	0x1600000	0x4000	0xa00000	0x1000000	yu17wG8L5FI	RE-exact-hardware-pending
