# firmware_abi_key	abi_family	enabled_direct_ops	queue	suspend_submit	suspend_query	workload	tf_ring	hs_offchip	memory	defaults	async_graphics	qualification	submit_dcb_group	submit_acb_group	suspend_direct_group	suspend_query_direct_group	workload_active_group	workload_complete_group	tf_public_group	tf_direct_group	hs_public_group	hs_direct_group	defaults_group	async_group
0x0320	legacy-v3	submit16,memory,queue,suspend-primary,tf-ring,hs-offchip,async	RE-exact-authenticated-0xc0408121-0xc00c810e-hardware-pending	RE-exact-primary-hardware-pending-final-disabled	disabled-permission-export	disabled-not-adapted	RE-exact-public-0x80108128-hardware-pending	RE-exact-0xc010812c-hardware-pending	RE-exact-standard-hardware-pending	disabled-runtime-selected-version-unknown	RE-exact-0x80048126-hardware-pending	RE-operation-carriers-hardware-pending	180c1c5c0a9bb373	27face3c9873f9c4	20da0cc1056cbc4d	20da0cc1056cbc4d	c6b2dba27666a726	999c04404755279a	b7acd9132a820dab	20da0cc1056cbc4d	c729f6298d92152e	20da0cc1056cbc4d	a60de44cf4c4bfa3	7c392b5734a73d3e
0x0400	standard	submit16,memory,queue,suspend-primary,tf-ring,hs-offchip,async	RE-exact-authenticated-0xc0408121-0xc00c810e-hardware-pending	RE-exact-primary-hardware-pending-final-disabled	disabled-permission-export	disabled-not-adapted	RE-exact-public-0x80108128-hardware-pending	RE-exact-0xc010812c-hardware-pending	RE-exact-standard-hardware-pending	disabled-runtime-selected-version-unknown	RE-exact-0x80048126-hardware-pending	RE-operation-carriers-hardware-pending	180c1c5c0a9bb373	27face3c9873f9c4	20da0cc1056cbc4d	20da0cc1056cbc4d	989dddf88afd947a	999c04404755279a	b7acd9132a820dab	20da0cc1056cbc4d	c729f6298d92152e	20da0cc1056cbc4d	a60de44cf4c4bfa3	905547b854cf9bbb
0x0403	standard	submit16,memory,queue,suspend-primary,tf-ring,hs-offchip,async	RE-exact-authenticated-0xc0408121-0xc00c810e-hardware-pending	RE-exact-primary-hardware-pending-final-disabled	disabled-permission-export	disabled-not-adapted	RE-exact-public-0x80108128-hardware-pending	RE-exact-0xc010812c-hardware-pending	RE-exact-standard-hardware-pending	disabled-runtime-selected-version-unknown	RE-exact-0x80048126-hardware-pending	RE-operation-carriers-hardware-pending	180c1c5c0a9bb373	27face3c9873f9c4	20da0cc1056cbc4d	20da0cc1056cbc4d	989dddf88afd947a	999c04404755279a	b7acd9132a820dab	20da0cc1056cbc4d	c729f6298d92152e	20da0cc1056cbc4d	a60de44cf4c4bfa3	905547b854cf9bbb
0x0450	standard	submit16,memory,queue,suspend-primary,tf-ring,hs-offchip,async	RE-exact-authenticated-0xc0408121-0xc00c810e-hardware-pending	RE-exact-primary-hardware-pending-final-disabled	disabled-permission-export	disabled-not-adapted	RE-exact-public-0x80108128-hardware-pending	RE-exact-0xc010812c-hardware-pending	RE-exact-standard-hardware-pending	disabled-runtime-selected-version-unknown	RE-exact-0x80048126-hardware-pending	RE-operation-carriers-hardware-pending	180c1c5c0a9bb373	fcb22c74cb8249e8	20da0cc1056cbc4d	20da0cc1056cbc4d	989dddf88afd947a	999c04404755279a	b7acd9132a820dab	20da0cc1056cbc4d	c729f6298d92152e	20da0cc1056cbc4d	a60de44cf4c4bfa3	905547b854cf9bbb
0x0451	standard	submit16,memory,queue,suspend-primary,tf-ring,hs-offchip,async	RE-exact-authenticated-0xc0408121-0xc00c810e-hardware-pending	RE-exact-primary-hardware-pending-final-disabled	disabled-permission-export	disabled-not-adapted	RE-exact-public-0x80108128-hardware-pending	RE-exact-0xc010812c-hardware-pending	RE-exact-standard-hardware-pending	disabled-runtime-selected-version-unknown	RE-exact-0x80048126-hardware-pending	RE-operation-carriers-hardware-pending	180c1c5c0a9bb373	fcb22c74cb8249e8	20da0cc1056cbc4d	20da0cc1056cbc4d	989dddf88afd947a	999c04404755279a	b7acd9132a820dab	20da0cc1056cbc4d	c729f6298d92152e	20da0cc1056cbc4d	a60de44cf4c4bfa3	905547b854cf9bbb
0x0502	standard	submit16,memory,queue,suspend-primary,tf-ring,hs-offchip,async	RE-exact-authenticated-0xc0408121-0xc00c810e-hardware-pending	RE-exact-primary-hardware-pending-final-disabled	disabled-permission-export	disabled-not-adapted	RE-exact-public-0x80108128-hardware-pending	RE-exact-0xc010812c-hardware-pending	RE-exact-standard-hardware-pending	disabled-runtime-selected-version-unknown	RE-exact-0x80048126-hardware-pending	RE-operation-carriers-hardware-pending	180c1c5c0a9bb373	fcb22c74cb8249e8	20da0cc1056cbc4d	20da0cc1056cbc4d	f57145a361868c73	999c04404755279a	94952cb372290835	20da0cc1056cbc4d	1e8518a95eab5bf0	20da0cc1056cbc4d	4152a75594d90347	da6cc326f26104c7
0x0510	standard	submit16,memory,queue,suspend-primary,tf-ring,hs-offchip,async	RE-exact-authenticated-0xc0408121-0xc00c810e-hardware-pending	RE-exact-primary-hardware-pending-final-disabled	disabled-permission-export	disabled-not-adapted	RE-exact-public-0x80108128-hardware-pending	RE-exact-0xc010812c-hardware-pending	RE-exact-standard-hardware-pending	disabled-runtime-selected-version-unknown	RE-exact-0x80048126-hardware-pending	RE-operation-carriers-hardware-pending	180c1c5c0a9bb373	fcb22c74cb8249e8	20da0cc1056cbc4d	20da0cc1056cbc4d	f57145a361868c73	999c04404755279a	94952cb372290835	20da0cc1056cbc4d	1e8518a95eab5bf0	20da0cc1056cbc4d	4152a75594d90347	da6cc326f26104c7
0x0550	standard	submit16,memory,queue,suspend-primary,suspend-final,workload-extension,tf-ring,hs-offchip,defaults-v8,async,eop-flip	hardware-qualified	hardware-qualified-primary-final	disabled-permission-export	hardware-qualified-openagc-extension	hardware-qualified-public-0x80108128	hardware-qualified-0xc010812c	hardware-qualified-standard	hardware-qualified-v8	hardware-qualified-0x80048126	hardware-qualified-FW5.50	180c1c5c0a9bb373	fcb22c74cb8249e8	20da0cc1056cbc4d	20da0cc1056cbc4d	f57145a361868c73	999c04404755279a	94952cb372290835	20da0cc1056cbc4d	1e8518a95eab5bf0	20da0cc1056cbc4d	4152a75594d90347	da6cc326f26104c7
0x0600	standard	submit16,memory,queue,suspend-primary,tf-ring,hs-offchip,async	RE-exact-authenticated-0xc0408121-0xc00c810e-hardware-pending	RE-exact-primary-hardware-pending-final-disabled	disabled-permission-export	disabled-not-adapted	RE-exact-public-0x80108128-hardware-pending	RE-exact-0xc010812c-hardware-pending	RE-exact-standard-hardware-pending	disabled-runtime-selected-version-unknown	RE-exact-0x80048126-hardware-pending	RE-operation-carriers-hardware-pending	180c1c5c0a9bb373	fcb22c74cb8249e8	20da0cc1056cbc4d	20da0cc1056cbc4d	3cd1d5d098cb8c5c	d56c10c815f1316c	0d99a580013e2a26	20da0cc1056cbc4d	a5857f9952c48bf4	20da0cc1056cbc4d	60022b47dd359a11	4e5fc1128ca7bd15
0x0602	standard	submit16,memory,queue,suspend-primary,tf-ring,hs-offchip,async	RE-exact-authenticated-0xc0408121-0xc00c810e-hardware-pending	RE-exact-primary-hardware-pending-final-disabled	disabled-permission-export	disabled-not-adapted	RE-exact-public-0x80108128-hardware-pending	RE-exact-0xc010812c-hardware-pending	RE-exact-standard-hardware-pending	disabled-runtime-selected-version-unknown	RE-exact-0x80048126-hardware-pending	RE-operation-carriers-hardware-pending	180c1c5c0a9bb373	fcb22c74cb8249e8	20da0cc1056cbc4d	20da0cc1056cbc4d	3cd1d5d098cb8c5c	d56c10c815f1316c	0d99a580013e2a26	20da0cc1056cbc4d	a5857f9952c48bf4	20da0cc1056cbc4d	60022b47dd359a11	4e5fc1128ca7bd15
0x0650	standard	submit16,memory,queue,suspend-primary,tf-ring,hs-offchip,async	RE-exact-authenticated-0xc0408121-0xc00c810e-hardware-pending	RE-exact-primary-hardware-pending-final-disabled	disabled-permission-export	disabled-not-adapted	RE-exact-public-0x80108128-hardware-pending	RE-exact-0xc010812c-hardware-pending	RE-exact-standard-hardware-pending	disabled-runtime-selected-version-unknown	RE-exact-0x80048126-hardware-pending	RE-operation-carriers-hardware-pending	180c1c5c0a9bb373	fcb22c74cb8249e8	20da0cc1056cbc4d	20da0cc1056cbc4d	3cd1d5d098cb8c5c	d56c10c815f1316c	0d99a580013e2a26	20da0cc1056cbc4d	a5857f9952c48bf4	20da0cc1056cbc4d	60022b47dd359a11	4e5fc1128ca7bd15
0x0701	standard	submit16,memory,queue,suspend-primary,tf-ring,hs-offchip,async	RE-exact-authenticated-0xc0408121-0xc00c810e-hardware-pending	RE-exact-primary-hardware-pending-final-disabled	disabled-permission-export	disabled-not-adapted	RE-exact-public-0x80108128-hardware-pending	RE-exact-0xc010812c-hardware-pending	RE-exact-standard-hardware-pending	disabled-runtime-selected-version-unknown	RE-exact-0x80048126-hardware-pending	RE-operation-carriers-hardware-pending	180c1c5c0a9bb373	fcb22c74cb8249e8	20da0cc1056cbc4d	20da0cc1056cbc4d	3cd1d5d098cb8c5c	d56c10c815f1316c	0d99a580013e2a26	20da0cc1056cbc4d	a5857f9952c48bf4	20da0cc1056cbc4d	4785afe7a0828a8e	4e5fc1128ca7bd15
