# firmware_abi_key	carrier_fingerprint	call_count	callsites	plt_target	property_name	arg0	arg1	arg2_standard	arg2_trinity	arg3	arg4	property_nid	trinity_predicate	qualification
0x0320	90db1b74c6631bd3	2	0x731e,0x79d4	0xa060	Sce.Debug:Gnm	property_name	gpu_info_base	0x100000	-	0	0	-W4xI5aVI8w	-	exact-RE-no-direct-call
0x0400	90db1b74c6631bd3	2	0x7a4e,0x8144	0xa8f0	Sce.Debug:Gnm	property_name	gpu_info_base	0x100000	-	0	0	-W4xI5aVI8w	-	exact-RE-no-direct-call
0x0403	90db1b74c6631bd3	2	0x7a4e,0x8144	0xa8f0	Sce.Debug:Gnm	property_name	gpu_info_base	0x100000	-	0	0	-W4xI5aVI8w	-	exact-RE-no-direct-call
0x0450	90db1b74c6631bd3	2	0x7c0e,0x8304	0xaab0	Sce.Debug:Gnm	property_name	gpu_info_base	0x100000	-	0	0	-W4xI5aVI8w	-	exact-RE-no-direct-call
0x0451	90db1b74c6631bd3	2	0x7c0e,0x8304	0xaab0	Sce.Debug:Gnm	property_name	gpu_info_base	0x100000	-	0	0	-W4xI5aVI8w	-	exact-RE-no-direct-call
0x0502	90db1b74c6631bd3	2	0x7dee,0x84f4	0xadb0	Sce.Debug:Gnm	property_name	gpu_info_base	0x100000	-	0	0	-W4xI5aVI8w	-	exact-RE-no-direct-call
0x0510	90db1b74c6631bd3	2	0x7dee,0x84f4	0xadb0	Sce.Debug:Gnm	property_name	gpu_info_base	0x100000	-	0	0	-W4xI5aVI8w	-	exact-RE-no-direct-call
0x0550	90db1b74c6631bd3	2	0x7dee,0x84f4	0xadb0	Sce.Debug:Gnm	property_name	gpu_info_base	0x100000	-	0	0	-W4xI5aVI8w	-	exact-RE-no-direct-call
0x0600	90db1b74c6631bd3	2	0x830e,0x8a94	0xb4e0	Sce.Debug:Gnm	property_name	gpu_info_base	0x100000	-	0	0	-W4xI5aVI8w	-	exact-RE-no-direct-call
0x0602	90db1b74c6631bd3	2	0x830e,0x8a94	0xb4e0	Sce.Debug:Gnm	property_name	gpu_info_base	0x100000	-	0	0	-W4xI5aVI8w	-	exact-RE-no-direct-call
0x0650	90db1b74c6631bd3	2	0x830e,0x8a94	0xb4e0	Sce.Debug:Gnm	property_name	gpu_info_base	0x100000	-	0	0	-W4xI5aVI8w	-	exact-RE-no-direct-call
0x0701	90db1b74c6631bd3	2	0x833e,0x8ac4	0xb560	Sce.Debug:Gnm	property_name	gpu_info_base	0x100000	-	0	0	-W4xI5aVI8w	-	exact-RE-no-direct-call
0x0720	90db1b74c6631bd3	2	0x833e,0x8ac4	0xb560	Sce.Debug:Gnm	property_name	gpu_info_base	0x100000	-	0	0	-W4xI5aVI8w	-	exact-RE-no-direct-call
0x0740	90db1b74c6631bd3	2	0x833e,0x8ac4	0xb560	Sce.Debug:Gnm	property_name	gpu_info_base	0x100000	-	0	0	-W4xI5aVI8w	-	exact-RE-no-direct-call
0x0760	90db1b74c6631bd3	2	0x833e,0x8ac4	0xb560	Sce.Debug:Gnm	property_name	gpu_info_base	0x100000	-	0	0	-W4xI5aVI8w	-	exact-RE-no-direct-call
0x0761	90db1b74c6631bd3	2	0x833e,0x8ac4	0xb560	Sce.Debug:Gnm	property_name	gpu_info_base	0x100000	-	0	0	-W4xI5aVI8w	-	exact-RE-no-direct-call
