# firmware_abi_key	setup_carrier	instruction_count	create_command	destroy_command	magic1	magic2	magic3	token	eop_ring_offset	read_pointer_offset	metadata_offset	pipe_id	ring_size	qualification
0x0320	26b746d80632ff6e	109	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0400	26b746d80632ff6e	109	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0403	26b746d80632ff6e	109	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0450	26b746d80632ff6e	109	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0451	26b746d80632ff6e	109	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0502	520dd3a95c739055	109	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0510	520dd3a95c739055	109	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0550	520dd3a95c739055	109	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	hardware-qualified-FW5.50
0x0600	520dd3a95c739055	109	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0602	520dd3a95c739055	109	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0650	520dd3a95c739055	109	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0701	d5897617bcf93396	109	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0720	d5897617bcf93396	109	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0740	d5897617bcf93396	109	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0760	d5897617bcf93396	109	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0761	d5897617bcf93396	109	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0800	62b864d8c4d00c9c	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0820	62b864d8c4d00c9c	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0840	62b864d8c4d00c9c	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
0x0860	62b864d8c4d00c9c	110	0xc0408121	0xc00c810e	0xaf1e80b7	0x8b4cdd90	0x99f68d6c	0xe5fcc174	0x39000	0x1c8000	0x1cc000	0xc	0x1000	RE-exact-hardware-pending
