# firmware_abi_key	sprx_relative_path	tf_carrier_fingerprint	tf_instructions	tf_command	tf_address_field	tf_size_field	tf_reserved_field	tf_validation	hs_carrier_fingerprint	hs_instructions	hs_command	hs_list_field	hs_count_field	hs_reserved_field	tf_direct_fingerprint	hs_direct_fingerprint	direct_export_status	qualification
0x0320	3.20/system/common/lib/libSceAgcDriver.sprx	b58a53604509260d	31	0x80108128	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	address-0x100,size-4	f0ac41b6175af20d	27	0xc010812c	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	20da0cc1056cbc4d	20da0cc1056cbc4d	permission-stub-0x8a6d0001	RE-exact-hardware-pending
0x0400	4.00/system/common/lib/libSceAgcDriver.sprx	b58a53604509260d	31	0x80108128	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	address-0x100,size-4	f0ac41b6175af20d	27	0xc010812c	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	20da0cc1056cbc4d	20da0cc1056cbc4d	permission-stub-0x8a6d0001	RE-exact-hardware-pending
0x0403	4.03/system/common/lib/libSceAgcDriver.sprx	b58a53604509260d	31	0x80108128	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	address-0x100,size-4	f0ac41b6175af20d	27	0xc010812c	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	20da0cc1056cbc4d	20da0cc1056cbc4d	permission-stub-0x8a6d0001	RE-exact-hardware-pending
0x0450	4.50/system/common/lib/libSceAgcDriver.sprx	b58a53604509260d	31	0x80108128	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	address-0x100,size-4	f0ac41b6175af20d	27	0xc010812c	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	20da0cc1056cbc4d	20da0cc1056cbc4d	permission-stub-0x8a6d0001	RE-exact-hardware-pending
0x0451	4.51/system/common/lib/libSceAgcDriver.sprx	b58a53604509260d	31	0x80108128	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	address-0x100,size-4	f0ac41b6175af20d	27	0xc010812c	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	20da0cc1056cbc4d	20da0cc1056cbc4d	permission-stub-0x8a6d0001	RE-exact-hardware-pending
0x0502	5.02/system/common/lib/libSceAgcDriver.sprx	b58a53604509260d	31	0x80108128	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	address-0x100,size-4	f0ac41b6175af20d	27	0xc010812c	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	20da0cc1056cbc4d	20da0cc1056cbc4d	permission-stub-0x8a6d0001	RE-exact-hardware-pending
0x0510	5.10/system/common/lib/libSceAgcDriver.sprx	b58a53604509260d	31	0x80108128	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	address-0x100,size-4	f0ac41b6175af20d	27	0xc010812c	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	20da0cc1056cbc4d	20da0cc1056cbc4d	permission-stub-0x8a6d0001	RE-exact-hardware-pending
0x0550	5.50/system/common/lib/libSceAgcDriver.sprx	b58a53604509260d	31	0x80108128	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	address-0x100,size-4	f0ac41b6175af20d	27	0xc010812c	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	20da0cc1056cbc4d	20da0cc1056cbc4d	permission-stub-0x8a6d0001	hardware-qualified
0x0600	6.00/system/common/lib/libSceAgcDriver.sprx	b58a53604509260d	31	0x80108128	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	address-0x100,size-4	f0ac41b6175af20d	27	0xc010812c	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	20da0cc1056cbc4d	20da0cc1056cbc4d	permission-stub-0x8a6d0001	RE-exact-hardware-pending
0x0602	6.02/system/common/lib/libSceAgcDriver.sprx	b58a53604509260d	31	0x80108128	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	address-0x100,size-4	f0ac41b6175af20d	27	0xc010812c	u64@0	u32@8	u32@0xc:unspecified-by-Sony-wrapper	20da0cc1056cbc4d	20da0cc1056cbc4d	permission-stub-0x8a6d0001	RE-exact-hardware-pending
