# firmware_abi_key	allocation_carrier	allocation_insns	allocation_vaddr	address_hint	aperture_size	alignment	memory_type	standard_prot	layout_file_offset	layout_vaddr	first_offset	first_size	second_offset	second_size	words_file_offset	words_vaddr	descriptor_words	constructor_carrier	constructor_insns	constructor_vaddr	property_carrier	property_plt	gn2_call	gn3_call	gn4_call	trinity_predicate	qualification
0x0320	6bc88d3ecfca91b8	63	0x3a0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x11070	0xd070	0x8000	0x19000	0x21000	0x19000	0x10070	0xc070	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	b17f16b1889ff5b8	248	0x6d60	f5db1320450cb3dc	0xa060	0x774a,0x77d6,0x7a13	0x777c	-	-	exact-RE-hardware-pending
0x0400	2528a7cb2fb69423	72	0x390	0xfe0000000	0x200000	0x200000	0xc	0x33	0x13ea0	0xfea0	0x8000	0x19000	0x21000	0x19000	0x12f40	0xef40	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	3a86acdfb01d771e	264	0x7450	f5db1320450cb3dc	0xa8f0	0x7e7a,0x7f06,0x8183	0x7eac	-	-	exact-RE-hardware-pending
0x0403	2528a7cb2fb69423	72	0x390	0xfe0000000	0x200000	0x200000	0xc	0x33	0x13ea0	0xfea0	0x8000	0x19000	0x21000	0x19000	0x12f40	0xef40	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	3a86acdfb01d771e	264	0x7450	f5db1320450cb3dc	0xa8f0	0x7e7a,0x7f06,0x8183	0x7eac	-	-	exact-RE-hardware-pending
0x0450	2528a7cb2fb69423	72	0x390	0xfe0000000	0x200000	0x200000	0xc	0x33	0x13ee0	0xfee0	0x8000	0x19000	0x21000	0x19000	0x12f70	0xef70	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	7c8f64cfcdd351ac	264	0x7610	f5db1320450cb3dc	0xaab0	0x803a,0x80c6,0x8343	0x806c	-	-	exact-RE-hardware-pending
0x0451	2528a7cb2fb69423	72	0x390	0xfe0000000	0x200000	0x200000	0xc	0x33	0x13ee0	0xfee0	0x8000	0x19000	0x21000	0x19000	0x12f70	0xef70	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	7c8f64cfcdd351ac	264	0x7610	f5db1320450cb3dc	0xaab0	0x803a,0x80c6,0x8343	0x806c	-	-	exact-RE-hardware-pending
0x0502	8c920c205a743346	72	0x380	0xfe0000000	0x200000	0x200000	0xc	0x33	0x140b0	0x100b0	0x8000	0x19000	0x21000	0x19000	0x141c0	0x101c0	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	7c8f64cfcdd351ac	264	0x77f0	f5db1320450cb3dc	0xadb0	0x822a,0x82b6,0x8533	0x825c	-	-	exact-RE-hardware-pending
0x0510	8c920c205a743346	72	0x380	0xfe0000000	0x200000	0x200000	0xc	0x33	0x140b0	0x100b0	0x8000	0x19000	0x21000	0x19000	0x141c0	0x101c0	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	7c8f64cfcdd351ac	264	0x77f0	f5db1320450cb3dc	0xadb0	0x822a,0x82b6,0x8533	0x825c	-	-	exact-RE-hardware-pending
0x0550	8c920c205a743346	72	0x380	0xfe0000000	0x200000	0x200000	0xc	0x33	0x140b0	0x100b0	0x8000	0x19000	0x21000	0x19000	0x141c0	0x101c0	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	7c8f64cfcdd351ac	264	0x77f0	f5db1320450cb3dc	0xadb0	0x822a,0x82b6,0x8533	0x825c	-	-	FW5.50-workload-qualified-without-replay
0x0600	8c920c205a743346	72	0x4d0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x141a0	0x101a0	0x8000	0x19000	0x21000	0x19000	0x142b0	0x102b0	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	efc6f043cdad63ee	242	0x7d10	670936f1d5ca7dd5	0xb4e0	0x875f,0x8852,0x8ad3	0x8795	0x87fc	-	exact-RE-hardware-pending
0x0602	8c920c205a743346	72	0x4d0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x141a0	0x101a0	0x8000	0x19000	0x21000	0x19000	0x142b0	0x102b0	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	efc6f043cdad63ee	242	0x7d10	670936f1d5ca7dd5	0xb4e0	0x875f,0x8852,0x8ad3	0x8795	0x87fc	-	exact-RE-hardware-pending
0x0650	8c920c205a743346	72	0x4d0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x141a0	0x101a0	0x8000	0x19000	0x21000	0x19000	0x142b0	0x102b0	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	efc6f043cdad63ee	242	0x7d10	670936f1d5ca7dd5	0xb4e0	0x875f,0x8852,0x8ad3	0x8795	0x87fc	-	exact-RE-hardware-pending
0x0701	8c920c205a743346	72	0x4d0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x14250	0x10250	0x8000	0x19000	0x21000	0x19000	0x143a0	0x103a0	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	efc6f043cdad63ee	242	0x7d40	670936f1d5ca7dd5	0xb560	0x878f,0x8882,0x8b03	0x87c5	0x882c	-	exact-RE-hardware-pending
0x0720	8c920c205a743346	72	0x4d0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x14250	0x10250	0x8000	0x19000	0x21000	0x19000	0x143a0	0x103a0	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	efc6f043cdad63ee	242	0x7d40	670936f1d5ca7dd5	0xb560	0x878f,0x8882,0x8b03	0x87c5	0x882c	-	exact-RE-hardware-pending
0x0740	8c920c205a743346	72	0x4d0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x14250	0x10250	0x8000	0x19000	0x21000	0x19000	0x143a0	0x103a0	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	efc6f043cdad63ee	242	0x7d40	670936f1d5ca7dd5	0xb560	0x878f,0x8882,0x8b03	0x87c5	0x882c	-	exact-RE-hardware-pending
0x0760	8c920c205a743346	72	0x4d0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x14250	0x10250	0x8000	0x19000	0x21000	0x19000	0x143a0	0x103a0	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	efc6f043cdad63ee	242	0x7d40	670936f1d5ca7dd5	0xb560	0x878f,0x8882,0x8b03	0x87c5	0x882c	-	exact-RE-hardware-pending
0x0761	8c920c205a743346	72	0x4d0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x14250	0x10250	0x8000	0x19000	0x21000	0x19000	0x143a0	0x103a0	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	efc6f043cdad63ee	242	0x7d40	670936f1d5ca7dd5	0xb560	0x878f,0x8882,0x8b03	0x87c5	0x882c	-	exact-RE-hardware-pending
0x0800	8c920c205a743346	72	0x4d0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x13fd0	0xffd0	0x8000	0x19000	0x21000	0x19000	0x14120	0x10120	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	6a4cc3235b014037	242	0x7f80	d88b55c3ccecfdc2	0xb770	0x89bf,0x8ab3,0x8d38	0x89f6	0x8a5d	-	exact-RE-hardware-pending
0x0820	8c920c205a743346	72	0x4d0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x13fd0	0xffd0	0x8000	0x19000	0x21000	0x19000	0x14120	0x10120	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	6a4cc3235b014037	242	0x7f80	d88b55c3ccecfdc2	0xb770	0x89bf,0x8ab3,0x8d38	0x89f6	0x8a5d	-	exact-RE-hardware-pending
0x0840	8c920c205a743346	72	0x4d0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x13fd0	0xffd0	0x8000	0x19000	0x21000	0x19000	0x14120	0x10120	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	6a4cc3235b014037	242	0x7f80	d88b55c3ccecfdc2	0xb770	0x89bf,0x8ab3,0x8d38	0x89f6	0x8a5d	-	exact-RE-hardware-pending
0x0860	8c920c205a743346	72	0x4d0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x13fd0	0xffd0	0x8000	0x19000	0x21000	0x19000	0x14120	0x10120	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	6a4cc3235b014037	242	0x7f80	d88b55c3ccecfdc2	0xb770	0x89bf,0x8ab3,0x8d38	0x89f6	0x8a5d	-	exact-RE-hardware-pending
0x0900	8c920c205a743346	72	0x4d0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x14180	0x10180	0x8000	0x19000	0x21000	0x19000	0x142c0	0x102c0	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	6a4cc3235b014037	242	0x8180	d88b55c3ccecfdc2	0xbb80	0x8c3f,0x8d33,0x8fda	0x8c76	0x8cdd	yu17wG8L5FI	exact-RE-hardware-pending
0x0905	8c920c205a743346	72	0x4d0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x14180	0x10180	0x8000	0x19000	0x21000	0x19000	0x142c0	0x102c0	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	6a4cc3235b014037	242	0x8180	d88b55c3ccecfdc2	0xbb80	0x8c3f,0x8d33,0x8fda	0x8c76	0x8cdd	yu17wG8L5FI	exact-RE-hardware-pending
0x0920	8c920c205a743346	72	0x4d0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x14180	0x10180	0x8000	0x19000	0x21000	0x19000	0x142c0	0x102c0	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	6a4cc3235b014037	242	0x8180	d88b55c3ccecfdc2	0xbb80	0x8c3f,0x8d33,0x8fda	0x8c76	0x8cdd	yu17wG8L5FI	exact-RE-hardware-pending
0x0940	8c920c205a743346	72	0x4d0	0xfe0000000	0x200000	0x200000	0xc	0x33	0x14180	0x10180	0x8000	0x19000	0x21000	0x19000	0x142c0	0x102c0	0x0,0x3bf,0x2000,0x2281,0x2400,0x2843	6a4cc3235b014037	242	0x8180	d88b55c3ccecfdc2	0xbb80	0x8c3f,0x8d33,0x8fda	0x8c76	0x8cdd	yu17wG8L5FI	exact-RE-hardware-pending
