# firmware_abi_key	primary_command	primary_carrier	primary_payload	primary_status	final_command	final_carriers	final_status	query_internal_command	query_internal_carrier	public_direct_exports	query_status	qualification
0x0320	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	86befa36b5ad490f	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0400	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	86befa36b5ad490f	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0403	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	86befa36b5ad490f	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0450	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	86befa36b5ad490f	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0451	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	86befa36b5ad490f	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0502	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	86befa36b5ad490f	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0510	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	86befa36b5ad490f	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0550	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	hardware-qualified	0xc0108139	86befa36b5ad490f	hardware-qualified	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	hardware-qualified-FW5.50
0x0600	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	86befa36b5ad490f	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
0x0602	0xc010811c	f11f91671460b2f7	u32@0,u32@4,u32@8,u32@0xc	RE-exact-hardware-pending	0xc0108139	86befa36b5ad490f	disabled-final-wrapper-variants-pending	0x80048127	212931230c60d245	permission-stub-0x8a6d0001	disabled-semantics-not-exposed	RE-primary-hardware-pending
