# firmware_abi_key	sprx_relative_path	active_size_fingerprint	active_size_bytes	complete_size_fingerprint	complete_size_bytes	size_helper_fingerprint	active_max_dwords	complete_max_dwords	active_builder_fingerprint	active_builder_bytes	complete_builder_fingerprint	complete_builder_bytes	packet_header	packet_dwords	stream_min	stream_max	workload_id_max	active_count_min	active_count_max	active_prefix_control	complete_prefix_control	active_packet_control	complete_packet_control	openagc_status
0x0320	3.20/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	c6b2dba27666a726	369	999c04404755279a	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0400	4.00/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	989dddf88afd947a	345	999c04404755279a	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0403	4.03/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	989dddf88afd947a	345	999c04404755279a	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0450	4.50/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	989dddf88afd947a	345	999c04404755279a	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0451	4.51/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	989dddf88afd947a	345	999c04404755279a	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0502	5.02/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	f57145a361868c73	361	999c04404755279a	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0510	5.10/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	f57145a361868c73	361	999c04404755279a	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0550	5.50/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	f57145a361868c73	361	999c04404755279a	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	hardware-qualified-openagc-extension-only
0x0600	6.00/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	3cd1d5d098cb8c5c	345	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0602	6.02/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	3cd1d5d098cb8c5c	345	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0650	6.50/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	3cd1d5d098cb8c5c	345	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0701	7.01/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	3cd1d5d098cb8c5c	345	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0720	7.20/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	3cd1d5d098cb8c5c	345	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0740	7.40/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	3cd1d5d098cb8c5c	345	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0760	7.60/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	3cd1d5d098cb8c5c	345	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0761	7.61/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	3cd1d5d098cb8c5c	345	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0800	8.00/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	8281259575279abb	338	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0820	8.20/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	8281259575279abb	338	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0840	8.40/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	8281259575279abb	338	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0860	8.60/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	cebcc1f42ffb8553	18	12	8281259575279abb	338	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0900	9.00/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	31091808261806f5	18	12	8281259575279abb	338	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0905	9.05/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	31091808261806f5	18	12	8281259575279abb	338	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0920	9.20/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	31091808261806f5	18	12	8281259575279abb	338	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0940	9.40/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	31091808261806f5	18	12	8281259575279abb	338	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x0960	9.60/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	31091808261806f5	18	12	8281259575279abb	338	d56c10c815f1316c	248	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x1001	10.01/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	31091808261806f5	18	12	85390b24a8090c14	338	d7a52448ef682e14	244	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x1020	10.20/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	31091808261806f5	18	12	85390b24a8090c14	338	d7a52448ef682e14	244	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x1040	10.40/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	31091808261806f5	18	12	85390b24a8090c14	338	d7a52448ef682e14	244	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x1060	10.60/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	31091808261806f5	18	12	85390b24a8090c14	338	d7a52448ef682e14	244	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x1100	11.00/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	31091808261806f5	18	12	5490b6a6f629b85a	338	d7a52448ef682e14	244	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x1120	11.20/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	31091808261806f5	18	12	5490b6a6f629b85a	338	d7a52448ef682e14	244	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x1140	11.40/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	31091808261806f5	18	12	5490b6a6f629b85a	338	d7a52448ef682e14	244	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
0x1160	11.60/system/common/lib/libSceAgcDriver.sprx	50943ee027cb1af9	19	11b7659c26f8b900	16	31091808261806f5	18	12	5490b6a6f629b85a	338	d7a52448ef682e14	244	0xc0071e00	9	1	31	63	1	63	0xcc000000	0xcd000000	0x267	0x275	sony-abi-not-adapted
