# operation	fingerprint	size_bytes	firmware_abi_keys	nids
sceAgcDriverSubmitDcb	180c1c5c0a9bb373	15	0x0320,0x0400,0x0403,0x0450,0x0451,0x0502,0x0510,0x0550,0x0600,0x0602,0x0650,0x0701,0x0720,0x0740,0x0760,0x0761,0x0800,0x0820,0x0840,0x0860,0x0900,0x0905,0x0920,0x0940,0x0960,0x1001,0x1020,0x1040,0x1060,0x1100,0x1120,0x1140,0x1160,0x1200,0x1202,0x1220,0x1240,0x1260,0x1270	UglJIZjGssM
sceAgcDriverSubmitAcb	27face3c9873f9c4	77	0x0320,0x0400,0x0403	gSRnr79F8tQ
sceAgcDriverSubmitAcb	4ffb5065de6839c0	51	0x1100,0x1120,0x1140,0x1160,0x1200,0x1202,0x1220,0x1240,0x1260,0x1270	gSRnr79F8tQ
sceAgcDriverSubmitAcb	fcb22c74cb8249e8	67	0x0450,0x0451,0x0502,0x0510,0x0550,0x0600,0x0602,0x0650,0x0701,0x0720,0x0740,0x0760,0x0761,0x0800,0x0820,0x0840,0x0860,0x0900,0x0905,0x0920,0x0940,0x0960,0x1001,0x1020,0x1040,0x1060	gSRnr79F8tQ
sceAgcDriverSubmitMultiDcbs	d4448a67f408c50d	20	0x0320,0x0400,0x0403,0x0450,0x0451,0x0502,0x0510,0x0550,0x0600,0x0602,0x0650,0x0701,0x0720,0x0740,0x0760,0x0761,0x0800,0x0820,0x0840,0x0860,0x0900,0x0905,0x0920,0x0940,0x0960,0x1001,0x1020,0x1040,0x1060,0x1100,0x1120,0x1140,0x1160,0x1200,0x1202,0x1220,0x1240,0x1260,0x1270	6UzEidRZwkg
sceAgcDriverSuspendPointSubmitDirect	20da0cc1056cbc4d	39	0x0320,0x0400,0x0403,0x0450,0x0451,0x0502,0x0510,0x0550,0x0600,0x0602,0x0650,0x0701,0x0720,0x0740,0x0760,0x0761,0x0800,0x0820,0x0840,0x0860,0x0900,0x0905,0x0920,0x0940,0x0960,0x1001,0x1020,0x1040,0x1060,0x1100,0x1120,0x1140,0x1160,0x1200,0x1202,0x1220,0x1240,0x1260,0x1270	ZV04pRl7cWU
sceAgcDriverIsSuspendPointInFlightDirect	20da0cc1056cbc4d	39	0x0320,0x0400,0x0403,0x0450,0x0451,0x0502,0x0510,0x0550,0x0600,0x0602,0x0650,0x0701,0x0720,0x0740,0x0760,0x0761,0x0800,0x0820,0x0840,0x0860,0x0900,0x0905,0x0920,0x0940,0x0960,0x1001,0x1020,0x1040,0x1060,0x1100,0x1120,0x1140,0x1160,0x1200,0x1202,0x1220,0x1240,0x1260,0x1270	I6elAJxk6Jo
sceAgcDriverSetWorkloadsActive	3cd1d5d098cb8c5c	345	0x0600,0x0602,0x0650,0x0701,0x0720,0x0740,0x0760,0x0761	UM9b9NunSrE
sceAgcDriverSetWorkloadsActive	5490b6a6f629b85a	338	0x1100,0x1120,0x1140,0x1160,0x1200,0x1202,0x1220,0x1240,0x1260,0x1270	UM9b9NunSrE
sceAgcDriverSetWorkloadsActive	8281259575279abb	338	0x0800,0x0820,0x0840,0x0860,0x0900,0x0905,0x0920,0x0940,0x0960	UM9b9NunSrE
sceAgcDriverSetWorkloadsActive	85390b24a8090c14	338	0x1001,0x1020,0x1040,0x1060	UM9b9NunSrE
sceAgcDriverSetWorkloadsActive	989dddf88afd947a	345	0x0400,0x0403,0x0450,0x0451	UM9b9NunSrE
sceAgcDriverSetWorkloadsActive	c6b2dba27666a726	369	0x0320	UM9b9NunSrE
sceAgcDriverSetWorkloadsActive	f57145a361868c73	361	0x0502,0x0510,0x0550	UM9b9NunSrE
sceAgcDriverSetWorkloadComplete	999c04404755279a	248	0x0320,0x0400,0x0403,0x0450,0x0451,0x0502,0x0510,0x0550	i6bfTi13ApA
sceAgcDriverSetWorkloadComplete	d56c10c815f1316c	248	0x0600,0x0602,0x0650,0x0701,0x0720,0x0740,0x0760,0x0761,0x0800,0x0820,0x0840,0x0860,0x0900,0x0905,0x0920,0x0940,0x0960	i6bfTi13ApA
sceAgcDriverSetWorkloadComplete	d7a52448ef682e14	244	0x1001,0x1020,0x1040,0x1060,0x1100,0x1120,0x1140,0x1160,0x1200,0x1202,0x1220,0x1240,0x1260,0x1270	i6bfTi13ApA
sceAgcDriverSetTFRing	0d99a580013e2a26	73	0x0600,0x0602,0x0650,0x0701,0x0720,0x0740,0x0760,0x0761,0x0800,0x0820,0x0840,0x0860,0x0900,0x0905,0x0920,0x0940,0x0960,0x1001,0x1020,0x1040,0x1060	XlNp7jzGiPo
