# firmware_abi_key	profile	abi_family	evidence_scope	sprx_relative_path	status
0x0320	fw320-direct	legacy-v3	direct-wrapper	3.20/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0400	fw400-direct	standard	direct-wrapper	4.00/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0403	fw403-direct	standard	direct-wrapper	4.03/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0450	fw450-direct	standard	direct-wrapper	4.50/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0451	fw451-direct	standard	direct-wrapper	4.51/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0502	fw502-direct	standard	direct-wrapper	5.02/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0510	fw510-direct	standard	direct-wrapper	5.10/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0550	fw550-direct	standard	direct-wrapper	5.50/system/common/lib/libSceAgcDriver.sprx	hardware-qualified
0x0600	fw600-direct	standard	direct-wrapper	6.00/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0602	fw602-direct	standard	direct-wrapper	6.02/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0650	fw650-direct	standard	direct-wrapper	6.50/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0701	fw701-direct	standard	direct-wrapper	7.01/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0720	fw720-direct	standard	direct-wrapper	7.20/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0740	fw740-direct	standard	direct-wrapper	7.40/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0760	fw760-direct	standard	direct-wrapper	7.60/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0761	fw761-direct	standard	direct-wrapper	7.61/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0800	fw800-direct	standard	direct-wrapper	8.00/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0820	fw820-direct	standard	direct-wrapper	8.20/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0840	fw840-direct	standard	direct-wrapper	8.40/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0860	fw860-direct	standard	direct-wrapper	8.60/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0900	fw900-direct	standard	direct-wrapper	9.00/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0905	fw905-direct	standard	direct-wrapper	9.05/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0920	fw920-direct	standard	direct-wrapper	9.20/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0940	fw940-direct	standard	direct-wrapper	9.40/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x0960	fw960-direct	standard	direct-wrapper	9.60/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x1001	fw1001-direct	standard	direct-wrapper	10.01/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x1020	fw1020-direct	standard	direct-wrapper	10.20/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x1040	fw1040-direct	standard	direct-wrapper	10.40/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x1060	fw1060-direct	standard	direct-wrapper	10.60/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x1100	fw1100-direct	standard	direct-wrapper	11.00/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x1120	fw1120-direct	standard	direct-wrapper	11.20/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x1140	fw1140-direct	standard	direct-wrapper	11.40/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x1160	fw1160-direct	standard	direct-wrapper	11.60/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x1200	fw1200-direct	standard	direct-wrapper	12.00/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x1202	fw1202-direct	standard	direct-wrapper	12.02/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x1220	fw1220-direct	standard	direct-wrapper	12.20/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x1240	fw1240-direct	standard	direct-wrapper	12.40/PS5 Pro 12.40 Lib/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x1260	fw1260-direct	standard	direct-wrapper	12.60/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
0x1270	fw1270-direct	standard	direct-wrapper	12.70/system/common/lib/libSceAgcDriver.sprx	RE-verified-hardware-pending
