# firmware_abi_key	sprx_relative_path	draw_fingerprint	draw_index_fingerprint	draw_multi_fingerprint	draw_index_multi_fingerprint	single_signature	single_core_dwords	single_get_size_bytes	multi_signature	multi_core_dwords	multi_get_size_bytes	user_data_wrappers	multi_count_fields
0x0320	3.20/system/common/lib/libSceAgc.sprx	429956e3f1187d80	f92a599de1c724a7	58b0c8dbaca8fb91	54e36d8ee1060ea0	cb,u32,u64	5	20	cb,u32,u32,u32,ptr,u32,u64	10	64	pre=tag:8/5,post=tag:0,driver-stub=0+0	count_addr=align4,split32;stride=dword8
0x0400	4.00/system/common/lib/libSceAgc.sprx	b141eb502d3f1b57	6ee110c60e710dcc	f571af312e46dbf1	d698cd4ceb596ad6	cb,u32,u64	5	20	cb,u32,u32,u32,ptr,u32,u64	10	64	pre=tag:8/5,post=tag:0,driver-stub=0+0	count_addr=align4,split32;stride=dword8
0x0403	4.03/system/common/lib/libSceAgc.sprx	b141eb502d3f1b57	6ee110c60e710dcc	f571af312e46dbf1	d698cd4ceb596ad6	cb,u32,u64	5	20	cb,u32,u32,u32,ptr,u32,u64	10	64	pre=tag:8/5,post=tag:0,driver-stub=0+0	count_addr=align4,split32;stride=dword8
0x0450	4.50/system/common/lib/libSceAgc.sprx	b141eb502d3f1b57	6ee110c60e710dcc	f571af312e46dbf1	d698cd4ceb596ad6	cb,u32,u64	5	20	cb,u32,u32,u32,ptr,u32,u64	10	64	pre=tag:8/5,post=tag:0,driver-stub=0+0	count_addr=align4,split32;stride=dword8
0x0451	4.51/system/common/lib/libSceAgc.sprx	b141eb502d3f1b57	6ee110c60e710dcc	f571af312e46dbf1	d698cd4ceb596ad6	cb,u32,u64	5	20	cb,u32,u32,u32,ptr,u32,u64	10	64	pre=tag:8/5,post=tag:0,driver-stub=0+0	count_addr=align4,split32;stride=dword8
0x0502	5.02/system/common/lib/libSceAgc.sprx	b141eb502d3f1b57	6ee110c60e710dcc	efb9953de726568b	6e3c58c339d79525	cb,u32,u64	5	20	cb,u32,u32,u32,ptr,u32,u64	10	64	pre=tag:8/5,post=tag:0,driver-stub=0+0	count_addr=align4,split32;stride=dword8
0x0510	5.10/system/common/lib/libSceAgc.sprx	b141eb502d3f1b57	6ee110c60e710dcc	efb9953de726568b	6e3c58c339d79525	cb,u32,u64	5	20	cb,u32,u32,u32,ptr,u32,u64	10	64	pre=tag:8/5,post=tag:0,driver-stub=0+0	count_addr=align4,split32;stride=dword8
0x0550	5.50/system/common/lib/libSceAgc.sprx	b141eb502d3f1b57	6ee110c60e710dcc	efb9953de726568b	6e3c58c339d79525	cb,u32,u64	5	20	cb,u32,u32,u32,ptr,u32,u64	10	64	pre=tag:8/5,post=tag:0,driver-stub=0+0	count_addr=align4,split32;stride=dword8
0x0600	6.00/system/common/lib/libSceAgc.sprx	b56d8a85ea82cce2	9e27d6d774537557	0aa7331b992761f2	9490b7af5255d595	cb,u32,u64	5	20	cb,u32,u32,u32,ptr,u32,u64	10	64	pre=tag:8/5,post=tag:0,driver-stub=0+0	count_addr=align4,split32;stride=dword8
0x0602	6.02/system/common/lib/libSceAgc.sprx	b56d8a85ea82cce2	9e27d6d774537557	0aa7331b992761f2	9490b7af5255d595	cb,u32,u64	5	20	cb,u32,u32,u32,ptr,u32,u64	10	64	pre=tag:8/5,post=tag:0,driver-stub=0+0	count_addr=align4,split32;stride=dword8
