firmware	library	name	nid	notes
# NID version variants — NIDs from firmware versions other than 5.50
# These NIDs do NOT exist in the FW 5.50 SPRX. Use for cross-version reference only.
#
# firmware	library	name	nid	source
11.60	libSceAgc	sceAgcDcbSetMarkerSpan	BYcSvEsINWU	11.60 compatibility SPRX export; aerolib name; exact cursor/text/length/color ABI recovered from Dragon Quest VII bundled SPRX
11.60	libSceAgc	sceAgcUnknown_11.60	Eq7asRCcfMs	11.60 SPRX export
11.60	libSceAgc	sceAgcAsyncWriteDataPatchSetAddressOrOffset	d4NZIlguzv0	11.60 compatibility SPRX export; aerolib name; exact IT_WRITE_DATA dword 2-3 patch recovered from Dragon Quest VII bundled SPRX
11.60	libSceAgc	sceAgcUnknown_11.60	-KRzWekV120	11.60 SPRX export
11.60	libSceAgc	sceAgcSetAmmSemaphoreMemory	OQTgEXyihvA	11.60 compatibility SPRX export; aerolib name; exact two-argument base/size ABI, 16 KiB alignment, and state transitions recovered from Dragon Quest VII bundled SPRX
11.60	libSceAgc	sceAgcWriteDataPatchSetAddressOrOffset	fPSCdQxgpSw	11.60 SPRX export; identified from sharpemu AgcExports.cs (also exported from libSceAgcDriver, see below)
11.60	libSceAgc	sceAgcUnknown_11.60	NbiQSQ-UL+M	11.60 SPRX export
11.60	libSceAgc	sceAgcWriteDataPatchSetCachePolicy	eAy8eGNsCuU	11.60 SPRX export; identified from sharpemu AgcExports.cs
11.60	libSceAgc	sceAgcAsyncWriteDataPatchSetCachePolicy	y5K5tPktiL8	11.60 compatibility SPRX export; aerolib name; exact IT_WRITE_DATA bits 26:25 patch recovered from Dragon Quest VII bundled SPRX
11.60	libSceAgc	sceAgcGetShaderInstrumentation	SwI6QxqwAC0	11.60 compatibility SPRX export; aerolib name; Dragon Quest caller uses the low instrumentation bit
11.60	libSceAgc	sceAgcUnknown_11.60	dbOlWdppb4o	11.60 SPRX export
11.60	libSceAgc	sceAgcAcquireMemSetEngine	W0WEyog0f74	11.60 compatibility SPRX export; aerolib name; exact IT_ACQUIRE_MEM control bit 31 patch recovered from Dragon Quest VII bundled SPRX
11.60	libSceAgc	sceAgcDcbPushMarkerSpan	N7M3+N-sBCw	11.60 compatibility SPRX export; aerolib name; exact cursor/text/length/color ABI recovered from Dragon Quest VII bundled SPRX
11.60	libSceAgc	sceAgcGetSemaphoreLabel	hFQ9pUxoLQ4	11.60 compatibility SPRX export; aerolib name; exact index/output-pointer ABI and 32-byte label stride recovered from Dragon Quest VII bundled SPRX
11.60	libSceAgc	sceAgcUnknown_11.60	pRO4U9d0vaA	11.60 SPRX export
11.60	libSceAgc	sceAgcGetGsPrimPayload	ICkECTBxrMw	11.60 compatibility SPRX export; aerolib name; exact output-pointer/shader-record ABI and CX register 0x1C2 mode scan recovered from Dragon Quest VII bundled SPRX
11.60	libSceAgc	sceAgcAsyncWriteDataPatchSetDst	EJBA4dbmvfg	11.60 compatibility SPRX export; aerolib name; exact IT_WRITE_DATA bits 11:8 patch recovered from Dragon Quest VII bundled SPRX
11.60	libSceAgc	sceAgcAcbSetMarkerSpan	pxx-GoOSdw4	11.60 compatibility SPRX export; aerolib name; exact cursor/text/length/color ABI recovered from Dragon Quest VII bundled SPRX
11.60	libSceAgc	sceAgcUnknown_11.60	h4h5EQ-Y20M	11.60 SPRX export
11.60	libSceAgc	sceAgcUnknown_11.60	vieBRwlh1Lw	11.60 SPRX export
11.60	libSceAgc	sceAgcSetShaderInstrumentation	RTpj-tIlvZc	11.60 compatibility SPRX export; aerolib name; stores EDI flags and returns zero
11.60	libSceAgc	sceAgcWriteDataPatchSetDst	tmy-+rBpspY	11.60 SPRX export; identified from sharpemu AgcExports.cs
11.60	libSceAgc	sceAgcUnknown_11.60	86rJnbZUpr4	11.60 SPRX export
11.60	libSceAgc	sceAgcUnknown_11.60	6nths4DHNrs	11.60 SPRX export
11.60	libSceAgc	sceAgcUnknown_11.60	shuFv6ZAOsI	11.60 SPRX export
11.60	libSceAgc	sceAgcAcbPushMarkerSpan	8Kly1JrJUlw	11.60 compatibility SPRX export; aerolib name; exact cursor/text/length/color ABI recovered from Dragon Quest VII bundled SPRX
11.60	libSceAgc	sceAgcGetIsTrinityMode	BfBDZGbti7A	11.60 compatibility SPRX export; Dragon Quest VII body writes sceKernelHasTrinityMode result through one-byte RDI output pointer; sole game caller ignores RAX; FW 5.50 standard PS5 reports false
11.60	libSceAgcDriver	sceAgcDriverUnknown_11.60	J6S2TMmGWgA	11.60 SPRX export
11.60	libSceAgcDriver	sceAgcDriverUnknown_11.60	kAPt2J4U3v8	11.60 SPRX export
11.60	libSceAgcDriver	sceAgcDriverUnknown_11.60	1l15IdtXNWw	11.60 SPRX export
11.60	libSceAgcDriver	sceAgcDriverUnknown_11.60	gtvWv7DEKD4	11.60 SPRX export
11.60	libSceAgcDriver	sceAgcDriverUnknown_11.60	NQLvUnSDyBU	11.60 SPRX export
11.60	libSceAgcDriver	sceAgcDriverUnknown_11.60	+ADiO6FQvEA	11.60 SPRX export
11.60	libSceAgcDriver	sceAgcDriverSetValidationErrorOutputFrequency	8F5j7U-Bq6s	11.60 compatibility SPRX export; aerolib name; unconditional 0x8A6C1000 stub in Dragon Quest VII bundled SPRX
11.60	libSceAgcDriver	sceAgcDriverUnknown_11.60	m9n9wJC2D+4	11.60 SPRX export
11.60	libSceAgcDriver	sceAgcDriverUnknown_11.60	nTwzz-6W9Jg	11.60 SPRX export
11.60	libSceAgcDriver	sceAgcDriverUnknown_11.60	8j6-e3dPf4c	11.60 SPRX export
11.60	libSceAgcDriver	sceAgcDriverUnknown_11.60	jwKQ1B98Q0g	11.60 SPRX export
11.60	libSceAgcDriver	sceAgcDriverUnknown_11.60	nhzPF9s5WF0	11.60 SPRX export
11.60	libSceAgcDriver	sceAgcDriverUnknown_11.60	38aK8XQj6Cg	11.60 SPRX export
11.60	libSceAgcDriver	sceAgcDriverUnknown_11.60	SFB48L57OKQ	11.60 SPRX export
11.60	libSceAgcDriver	sceAgcDriverUnknown_11.60	EcaEt4nv8No	11.60 SPRX export
11.60	libSceAgcDriver	sceAgcDriverSetSubmitValidationConfig	chJWZcNSzjk	11.60 compatibility SPRX export; aerolib name; unconditional 0x8A6C1000 stub in Dragon Quest VII bundled SPRX
11.60	libSceAgcDriver	sceAgcDriverUnknown_11.60	Hb3p8BJm2PI	11.60 SPRX export
11.60	libSceAgcDriver	sceAgcDriverUnknown_11.60	mQfUoU5-d1g	11.60 SPRX export
11.60	libSceAgcDriver	sceAgcDriverGetSubmitValidationMode	WHIOMbb+iIU	11.60 compatibility SPRX export; aerolib name; unconditional 0x8A6C1000 stub in Dragon Quest VII bundled SPRX
11.60	libSceAgcDriver	sceAgcDriverGetSubmitValidationConfig	ICaGtkEIXTk	11.60 compatibility SPRX export; aerolib name; unconditional 0x8A6C1000 stub in Dragon Quest VII bundled SPRX
11.60	libSceAgcDriver	sceAgcDriverSetSubmitValidationMode	+iAOE3jCnkk	11.60 compatibility SPRX export; aerolib name; unconditional 0x8A6C1000 stub in Dragon Quest VII bundled SPRX
11.60	libSceAgcDriver	sceAgcWriteDataPatchSetAddressOrOffset	fPSCdQxgpSw	libGraphicsDriver.cpp
3.20	libSceAgcDriver	sceAgcSdmaClose	OYBiWgeGpPo	3.20 stub (libSceAgcDriver)
