# firmware_abi_key	libSceAgc_relative_path	versioned_nid	versioned_vaddr	versioned_size	versioned_fingerprint	max_dispatch_version	runtime_nid	runtime_vaddr	runtime_size	runtime_fingerprint	selector_source	table_stride	selector_field_offset	selection_evidence	internal_versioned_nid	internal_versioned_vaddr	internal_versioned_size	internal_versioned_fingerprint	internal_max_dispatch_version	internal_runtime_nid	internal_runtime_vaddr	internal_runtime_size	internal_runtime_fingerprint
0x0320	3.20/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x83d0	153	6136bfb707cef022	7	Wi82ArQtAwg	0x8510	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x8470	153	6136bfb707cef022	7	uIwxsqDlHRc	0x8540	46	bb62427f6ba9c47b
0x0400	4.00/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x87f0	181	13536fcb103a5281	8	Wi82ArQtAwg	0x8970	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x88b0	181	13536fcb103a5281	8	uIwxsqDlHRc	0x89a0	46	bb62427f6ba9c47b
0x0403	4.03/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x87f0	181	13536fcb103a5281	8	Wi82ArQtAwg	0x8970	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x88b0	181	13536fcb103a5281	8	uIwxsqDlHRc	0x89a0	46	bb62427f6ba9c47b
0x0450	4.50/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x87f0	181	13536fcb103a5281	8	Wi82ArQtAwg	0x8970	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x88b0	181	13536fcb103a5281	8	uIwxsqDlHRc	0x89a0	46	bb62427f6ba9c47b
0x0451	4.51/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x87f0	181	13536fcb103a5281	8	Wi82ArQtAwg	0x8970	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x88b0	181	13536fcb103a5281	8	uIwxsqDlHRc	0x89a0	46	bb62427f6ba9c47b
0x0502	5.02/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x8770	200	e61acf8aab26280e	9	Wi82ArQtAwg	0x8910	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x8840	200	e61acf8aab26280e	9	uIwxsqDlHRc	0x8940	46	bb62427f6ba9c47b
0x0510	5.10/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x8770	200	e61acf8aab26280e	9	Wi82ArQtAwg	0x8910	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x8840	200	e61acf8aab26280e	9	uIwxsqDlHRc	0x8940	46	bb62427f6ba9c47b
0x0550	5.50/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x8770	200	e61acf8aab26280e	9	Wi82ArQtAwg	0x8910	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x8840	200	e61acf8aab26280e	9	uIwxsqDlHRc	0x8940	46	bb62427f6ba9c47b
0x0600	6.00/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x8950	200	e61acf8aab26280e	9	Wi82ArQtAwg	0x8af0	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x8a20	200	e61acf8aab26280e	9	uIwxsqDlHRc	0x8b20	46	bb62427f6ba9c47b
0x0602	6.02/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x8950	200	e61acf8aab26280e	9	Wi82ArQtAwg	0x8af0	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x8a20	200	e61acf8aab26280e	9	uIwxsqDlHRc	0x8b20	46	bb62427f6ba9c47b
0x0650	6.50/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x89d0	200	e61acf8aab26280e	9	Wi82ArQtAwg	0x8b70	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x8aa0	200	e61acf8aab26280e	9	uIwxsqDlHRc	0x8ba0	46	bb62427f6ba9c47b
0x0701	7.01/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x8cb0	200	e61acf8aab26280e	9	Wi82ArQtAwg	0x8e50	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x8d80	200	e61acf8aab26280e	9	uIwxsqDlHRc	0x8e80	46	bb62427f6ba9c47b
0x0720	7.20/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x8cb0	200	e61acf8aab26280e	9	Wi82ArQtAwg	0x8e50	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x8d80	200	e61acf8aab26280e	9	uIwxsqDlHRc	0x8e80	46	bb62427f6ba9c47b
0x0740	7.40/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x8cb0	200	e61acf8aab26280e	9	Wi82ArQtAwg	0x8e50	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x8d80	200	e61acf8aab26280e	9	uIwxsqDlHRc	0x8e80	46	bb62427f6ba9c47b
0x0760	7.60/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x8cb0	200	e61acf8aab26280e	9	Wi82ArQtAwg	0x8e50	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x8d80	200	e61acf8aab26280e	9	uIwxsqDlHRc	0x8e80	46	bb62427f6ba9c47b
0x0761	7.61/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x8cb0	200	e61acf8aab26280e	9	Wi82ArQtAwg	0x8e50	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x8d80	200	e61acf8aab26280e	9	uIwxsqDlHRc	0x8e80	46	bb62427f6ba9c47b
0x0800	8.00/lib/libSceAgc.sprx	2JtWUUiYBXs	0x8f00	331	a50fbc26d29d2b7a	9	Wi82ArQtAwg	0x91a0	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x9050	331	a50fbc26d29d2b7a	9	uIwxsqDlHRc	0x91d0	46	bb62427f6ba9c47b
0x0820	8.20/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x8f00	331	a50fbc26d29d2b7a	9	Wi82ArQtAwg	0x91a0	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x9050	331	a50fbc26d29d2b7a	9	uIwxsqDlHRc	0x91d0	46	bb62427f6ba9c47b
0x0840	8.40/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x8f00	331	a50fbc26d29d2b7a	9	Wi82ArQtAwg	0x91a0	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x9050	331	a50fbc26d29d2b7a	9	uIwxsqDlHRc	0x91d0	46	bb62427f6ba9c47b
0x0860	8.60/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x8f00	331	a50fbc26d29d2b7a	9	Wi82ArQtAwg	0x91a0	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x9050	331	a50fbc26d29d2b7a	9	uIwxsqDlHRc	0x91d0	46	bb62427f6ba9c47b
0x0900	9.00/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x9540	465	362e51fb048defa4	12	Wi82ArQtAwg	0x9900	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x9720	465	362e51fb048defa4	12	uIwxsqDlHRc	0x9930	46	bb62427f6ba9c47b
0x0905	9.05/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x9540	465	362e51fb048defa4	12	Wi82ArQtAwg	0x9900	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x9720	465	362e51fb048defa4	12	uIwxsqDlHRc	0x9930	46	bb62427f6ba9c47b
0x0920	9.20/lib/libSceAgc.sprx	2JtWUUiYBXs	0x9540	465	362e51fb048defa4	12	Wi82ArQtAwg	0x9900	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x9720	465	362e51fb048defa4	12	uIwxsqDlHRc	0x9930	46	bb62427f6ba9c47b
0x0940	9.40/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x9540	465	362e51fb048defa4	12	Wi82ArQtAwg	0x9900	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x9720	465	362e51fb048defa4	12	uIwxsqDlHRc	0x9930	46	bb62427f6ba9c47b
0x0960	9.60/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x9540	465	362e51fb048defa4	12	Wi82ArQtAwg	0x9900	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x9720	465	362e51fb048defa4	12	uIwxsqDlHRc	0x9930	46	bb62427f6ba9c47b
0x1001	10.01/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x95e0	476	251c69c9f7602011	12	Wi82ArQtAwg	0x99a0	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x97c0	476	251c69c9f7602011	12	uIwxsqDlHRc	0x99d0	46	bb62427f6ba9c47b
0x1020	10.20/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x9660	476	251c69c9f7602011	12	Wi82ArQtAwg	0x9a20	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x9840	476	251c69c9f7602011	12	uIwxsqDlHRc	0x9a50	46	bb62427f6ba9c47b
0x1040	10.40/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x9660	476	251c69c9f7602011	12	Wi82ArQtAwg	0x9a20	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x9840	476	251c69c9f7602011	12	uIwxsqDlHRc	0x9a50	46	bb62427f6ba9c47b
0x1060	10.60/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x9660	476	251c69c9f7602011	12	Wi82ArQtAwg	0x9a20	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x9840	476	251c69c9f7602011	12	uIwxsqDlHRc	0x9a50	46	bb62427f6ba9c47b
0x1100	11.00/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x9db0	476	251c69c9f7602011	12	Wi82ArQtAwg	0xa170	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x9f90	476	251c69c9f7602011	12	uIwxsqDlHRc	0xa1a0	46	bb62427f6ba9c47b
0x1120	11.20/lib/libSceAgc.sprx	2JtWUUiYBXs	0x9db0	476	251c69c9f7602011	12	Wi82ArQtAwg	0xa170	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x9f90	476	251c69c9f7602011	12	uIwxsqDlHRc	0xa1a0	46	bb62427f6ba9c47b
0x1140	11.40/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x9db0	476	251c69c9f7602011	12	Wi82ArQtAwg	0xa170	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x9f90	476	251c69c9f7602011	12	uIwxsqDlHRc	0xa1a0	46	bb62427f6ba9c47b
0x1160	11.60/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x9db0	476	251c69c9f7602011	12	Wi82ArQtAwg	0xa170	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0x9f90	476	251c69c9f7602011	12	uIwxsqDlHRc	0xa1a0	46	bb62427f6ba9c47b
0x1200	12.00/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x9ed0	476	251c69c9f7602011	12	Wi82ArQtAwg	0xa290	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0xa0b0	476	251c69c9f7602011	12	uIwxsqDlHRc	0xa2c0	46	bb62427f6ba9c47b
0x1202	12.02/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x9ed0	476	251c69c9f7602011	12	Wi82ArQtAwg	0xa290	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0xa0b0	476	251c69c9f7602011	12	uIwxsqDlHRc	0xa2c0	46	bb62427f6ba9c47b
0x1220	12.20/system/common/lib/libSceAgc.sprx	2JtWUUiYBXs	0x9ed0	476	251c69c9f7602011	12	Wi82ArQtAwg	0xa290	46	bb62427f6ba9c47b	sceAgcInit-version-argument	0x50	0x44	caller-argument-flow-proven	wRbq6ZjNop4	0xa0b0	476	251c69c9f7602011	12	uIwxsqDlHRc	0xa2c0	46	bb62427f6ba9c47b
