title_id	library	function	nid	classification
PPSA02453	libSceAgc	sceAgcAcbAcquireMem	KT-hTp-Ch14	implemented
PPSA02453	libSceAgc	sceAgcAcbDispatchIndirect	j3EtxFkSIhQ	implemented
PPSA02453	libSceAgc	sceAgcAcbDmaData	-RnpfpxIhec	implemented
PPSA02453	libSceAgc	sceAgcAcbEventWrite	cFazmnXpJOE	implemented
PPSA02453	libSceAgc	sceAgcAcbResetQueue	JrtiDtKeS38	implemented
PPSA02453	libSceAgc	sceAgcAcbWaitRegMem	htn36gPnBk4	implemented
PPSA02453	libSceAgc	sceAgcAcbWriteData	eZ4+17OQz4Q	implemented
PPSA02453	libSceAgc	sceAgcCbDispatch	k3GhuSNmBLU	implemented
PPSA02453	libSceAgc	sceAgcCbNop	LtTouSCZjHM	implemented
PPSA02453	libSceAgc	sceAgcCbReleaseMem	wr23dPKyWc0	implemented
PPSA02453	libSceAgc	sceAgcCbSetShRegisterRangeDirect	n2fD4A+pb+g	implemented
PPSA02453	libSceAgc	sceAgcCbSetShRegistersDirect	UZbQjYAwwXM	implemented
PPSA02453	libSceAgc	sceAgcCreateInterpolantMapping_0100	HV4j+E0MBHE	forwarding-wrapper
PPSA02453	libSceAgc	sceAgcCreatePrimState	D9sr1xGUriE	implemented
PPSA02453	libSceAgc	sceAgcCreateShader	f3dg2CSgRKY	implemented
PPSA02453	libSceAgc	sceAgcDcbAcquireMem	57labkp+rSQ	implemented
PPSA02453	libSceAgc	sceAgcDcbCopyData	1rZSWUv1IRc	implemented
PPSA02453	libSceAgc	sceAgcDcbDispatchIndirect	CtB+A9-VxO0	implemented
PPSA02453	libSceAgc	sceAgcDcbDmaData	WmAc2MEj6Io	implemented
PPSA02453	libSceAgc	sceAgcDcbDrawIndex	q88lQ+GP5Yk	implemented
PPSA02453	libSceAgc	sceAgcDcbDrawIndexAuto	Yw0jKSqop+E	implemented
PPSA02453	libSceAgc	sceAgcDcbDrawIndexIndirect	t1vNu082-jM	implemented
PPSA02453	libSceAgc	sceAgcDcbDrawIndirect	1q1titRBL6o	implemented
PPSA02453	libSceAgc	sceAgcDcbEventWrite	aJf+j5yntiU	implemented
PPSA02453	libSceAgc	sceAgcDcbPopMarker	H7uZqCoNuWk	implemented
PPSA02453	libSceAgc	sceAgcDcbPushMarker	+kSrjIVxKFE	implemented
PPSA02453	libSceAgc	sceAgcDcbResetQueue	TRO721eVt4g	implemented
PPSA02453	libSceAgc	sceAgcDcbSetBaseIndirectArgs	RmaJwLtc8rY	implemented
PPSA02453	libSceAgc	sceAgcDcbSetCxRegistersIndirect	ZvwO9euwYzc	implemented
PPSA02453	libSceAgc	sceAgcDcbSetFlip	YUeqkyT7mEQ	implemented
PPSA02453	libSceAgc	sceAgcDcbSetIndexBuffer	l4fM9K-Lyks	implemented
PPSA02453	libSceAgc	sceAgcDcbSetIndexCount	8N2tmT3jmC8	implemented
PPSA02453	libSceAgc	sceAgcDcbSetIndexSize	GIIW2J37e70	implemented
PPSA02453	libSceAgc	sceAgcDcbSetNumInstances	tSBxhAPyytQ	implemented
