# firmware_abi_key	libSceVideoOut_relative_path	sprx_sha256	register_buffers_nid	first_guard_field	second_guard_field	patch_vaddr	original_bytes	verification
0x0320	3.20/system/common/lib/libSceVideoOut.sprx	42b771826c6f315419a2e52d2058e9e135b44d0264ee28dc565a7a1e2a232a6c	w3BY+tAEiQY	0x758	0x700	0x81b3	0f849f040000	linear-rejection-0x80290007
0x0400	4.00/system/common/lib/libSceVideoOut.sprx	04b30fb9cb480199cd5cd254dae4c3ae6d52675f6443ea2956cb0cff67885bf7	w3BY+tAEiQY	0x758	0x700	0x8409	0f8425050000	linear-rejection-0x80290007
0x0403	4.03/system/common/lib/libSceVideoOut.sprx	719be577ab91e24547a124c1817d4dbc16ceaffaf4a3e1323433b9d56129b93a	w3BY+tAEiQY	0x758	0x700	0x8409	0f8425050000	linear-rejection-0x80290007
0x0450	4.50/system/common/lib/libSceVideoOut.sprx	68be83b1c37a663aeb04d38f35833ad8700e55dd1b0f99ebd761fe6e63516053	w3BY+tAEiQY	0x758	0x700	0x8409	0f8425050000	linear-rejection-0x80290007
0x0451	4.51/system/common/lib/libSceVideoOut.sprx	bb7e992878061aa2772eb54467227d563a642349d862567e19647bfc719add1c	w3BY+tAEiQY	0x758	0x700	0x8409	0f8425050000	linear-rejection-0x80290007
0x0502	5.02/system/common/lib/libSceVideoOut.sprx	2785aa6c6c426e3d1c71af30e4de69286e8687e4722bd87666908487ebaacc66	w3BY+tAEiQY	0x758	0x700	0x7e61	0f8415020000	linear-rejection-0x80290007
0x0510	5.10/system/common/lib/libSceVideoOut.sprx	2785aa6c6c426e3d1c71af30e4de69286e8687e4722bd87666908487ebaacc66	w3BY+tAEiQY	0x758	0x700	0x7e61	0f8415020000	linear-rejection-0x80290007
0x0550	5.50/system/common/lib/libSceVideoOut.sprx	d77c0063198fd5ad74e3733852fa7a5c27c57f560b39cee110b9d1651ee6afaa	w3BY+tAEiQY	0x758	0x700	0x7e61	0f8415020000	linear-rejection-0x80290007
0x0600	6.00/system/common/lib/libSceVideoOut.sprx	04d32b316719dc060601352afde01878d95d1b7ddf57a19bec033a8bb3b7c885	w3BY+tAEiQY	0x760	0x700	0x8515	0f8446020000	linear-rejection-0x80290007
0x0602	6.02/system/common/lib/libSceVideoOut.sprx	6721fffc56ad16102e2c6d993a01f20c0a7bf8243a283e0aead7d955ac49cbe7	w3BY+tAEiQY	0x760	0x700	0x8515	0f8446020000	linear-rejection-0x80290007
0x0650	6.50/system/common/lib/libSceVideoOut.sprx	7520ae424da3d099ecd72b96f87f8fbebd4f172a3e797fa013383612d6420ec5	w3BY+tAEiQY	0x760	0x700	0x8515	0f8446020000	linear-rejection-0x80290007
0x0701	7.01/system/common/lib/libSceVideoOut.sprx	dc96abebfcf18c5183bd382eab6cc24661cf8b6961cf59220e231382b157b597	w3BY+tAEiQY	0x770	0x704	0x8cb3	0f8449020000	linear-rejection-0x80290007
0x0720	7.20/system/common/lib/libSceVideoOut.sprx	c2f4d7fa5f2ba011f0f56bd087568407c8f2fec23e4f9d5cfa36eca3803a67c6	w3BY+tAEiQY	0x770	0x704	0x8cb3	0f8449020000	linear-rejection-0x80290007
0x0740	7.40/system/common/lib/libSceVideoOut.sprx	e5ba0efe56146b1d23d62b7a92d9d9c7162cf38b3eb47040ce1a1f050950864d	w3BY+tAEiQY	0x770	0x704	0x8cb3	0f8449020000	linear-rejection-0x80290007
0x0760	7.60/system/common/lib/libSceVideoOut.sprx	ae63adce3c4a01cf57cd6ecd384dff8b4a813d3a7cbf7417d93c0655be890e47	w3BY+tAEiQY	0x770	0x704	0x8cb3	0f8449020000	linear-rejection-0x80290007
0x0761	7.61/system/common/lib/libSceVideoOut.sprx	97a82a7053d900f5c7fa2303c0503fd4a10607ce1ae91fce2e6ff0bf0c347b0e	w3BY+tAEiQY	0x770	0x704	0x8cb3	0f8449020000	linear-rejection-0x80290007
0x0800	8.00/lib/libSceVideoOut.sprx	c33eeb77092e1989f18db30f8d001f621380f4c07a7f945763cc34e4ae0a5c6c	w3BY+tAEiQY	0x770	0x704	0x8fc4	0f8438020000	linear-rejection-0x80290007
